Designator,Mid X,Mid Y,Rotation,Layer
,235.204,-49.53,0.0,top
C2,235.384369,-45.212,180.0,top
J1,146.29,-83.13,0.0,top
J2,108.453,-112.0,90.0,top
J3,213.36,-50.292,0.0,top
J4,171.45,-50.8,180.0,top
J5,151.633,-48.768,90.0,top
Q1,159.980356,-75.51,90.0,top
Q10,165.34,-112.34,90.0,top
Q2,165.34,-79.32,90.0,top
Q3,159.980356,-83.638,90.0,top
Q4,165.34,-87.575,90.0,top
Q5,159.980356,-91.766,90.0,top
Q6,165.34,-95.83,90.0,top
Q7,159.980356,-99.894,90.0,top
Q8,165.34,-104.085,90.0,top
Q9,159.980356,-108.022,90.0,top
R1,169.15,-74.24,0.0,top
R10,169.15,-111.07,0.0,top
R11,140.108,-84.162,90.0,top
R12,134.284,-84.172,90.0,top
R13,128.46,-84.172,90.0,top
R14,122.636,-84.372,90.0,top
R15,116.812,-84.572,90.0,top
R16,110.993,-84.572,90.0,top
R17,108.453,-96.764,270.0,top
R18,114.295,-96.764,270.0,top
R19,120.137,-96.764,270.0,top
R2,169.15,-78.05,0.0,top
R20,125.979,-96.764,270.0,top
R21,131.821,-96.764,270.0,top
R22,137.663,-96.764,270.0,top
R23,184.15,-40.64,180.0,top
R24,184.15,-43.18,180.0,top
R25,184.15,-45.72,180.0,top
R26,184.15,-48.26,180.0,top
R3,169.15,-82.372447,0.0,top
R4,169.15,-86.305,0.0,top
R5,169.15,-90.504894,0.0,top
R6,169.15,-94.56,0.0,top
R7,169.15,-98.637341,0.0,top
R8,169.15,-102.815,0.0,top
R9,169.15,-106.769789,0.0,top
U1,213.083,-74.515,0.0,top
U10,190.5,-39.37,0.0,top
U11,107.123,-67.056,0.0,top
U12,235.204,-56.134,270.0,bottom
U2,190.51,-95.84,0.0,top
U3,190.5,-67.605,0.0,top
U4,140.208,-86.868,270.0,top
U5,134.366,-86.868,270.0,top
U6,128.524,-86.868,270.0,top
U7,122.682,-86.868,270.0,top
U8,116.84,-86.868,270.0,top
U9,110.998,-86.868,270.0,top
